Dest State Nm,Latitude (generated),Longitude (generated),Sum PASSENGERS
Wyoming,43,-107.5,0.00M
Wisconsin,44.5,-90,0.00M
West Virginia,38.63,-80.73,0.00M
Washington,47.5,-120.5,2.72M
Virginia,37.77,-78.24,10.89M
Vermont,44.1584,-72.7678,1.14M
Utah,39.25,-111.75,2.31M
U.S. Virgin Islands,17.74,-64.803,0.88M
Texas,31.25,-99.25,4.35M
Tennessee,35.75,-86.25,0.54M
South Carolina,34,-81,1.49M
Rhode Island,41.4966,-71.4757,1.01M
Puerto Rico,18.24,-66.64,16.03M
Pennsylvania,40.86,-77.9,2.70M
Oregon,44,-120.5,1.65M
Oklahoma,35.5,-97.5,0.00M
Ohio,40.25,-83,0.63M
North Dakota,47.5,-100,0.00M
North Carolina,35.5,-80,3.74M
New York,43,-75.49,84.43M
New Mexico,34.5,-106,0.28M
New Jersey,40.16,-74.49,8.82M
New Hampshire,43.66,-71.49,0.00M
Nevada,39.25,-116.75,5.86M
Nebraska,41.5,-99.75,0.00M
Montana,47,-109.75,0.01M
Missouri,38.25,-92.5,0.00M
Mississippi,33.503,-89.8071,0.01M
Minnesota,46.25,-94.25,0.21M
Michigan,43.1045,-84.6165,0.72M
Massachusetts,42.3616,-72.1839,45.33M
Maryland,39.4444,-77.0834,1.75M
Maine,45.5,-69.24,0.93M
Louisiana,30.6935,-92.241,1.56M
Kentucky,37.79,-84.87,0.00M
Kansas,38.5,-98.5,0.00M
Iowa,42,-93.5,0.00M
Indiana,40,-86.25,0.00M
Illinois,40,-89.25,2.34M
Idaho,44.0739,-114.542,0.00M
Georgia,32.1598,-83.4715,1.80M
Florida,28.42,-81.55,79.62M
Delaware,38.6716,-75.4165,0.00M
Connecticut,41.6227,-72.7028,3.38M
Colorado,39,-105.5,1.50M
California,37.25,-119.75,31.95M
Arkansas,34.75,-92.5,0.00M
Arizona,34.5,-111.5,1.04M
Alaska,64,-150,0.25M
Alabama,32.75,-86.75,0.00M
