,city,state,latitude,longitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
1,Anaheim,CA,33.834184782608695,-117.91141304347826,25.86413043478261,2248.6195652173915,461.62295081967216,1327.6521739130435,434.1739130434783,4.272000543478261,215800.00543478265
2,Anderson,CA,40.445,-122.295,31.0,1278.0,318.0,767.0,280.0,1.52415,58300.0
3,Antioch,CA,37.99829268292683,-121.81341463414635,25.682926829268293,3075.756097560976,549.9268292682926,1496.0487804878048,515.2439024390244,3.8135975609756096,135736.58536585365
4,Atwater,CA,37.35636363636364,-120.59636363636363,20.454545454545453,2521.0,531.6,1521.8181818181818,485.9090909090909,2.9360363636363638,88572.72727272728
5,Bakersfield,CA,35.36235294117647,-119.0175816993464,28.437908496732025,2790.954248366013,561.3026315789474,1504.5424836601308,525.8366013071895,2.9048869281045757,83654.24836601307
6,Berkeley,CA,37.871875,-122.27357142857144,48.875,1946.1875,422.0982142857143,940.1607142857144,401.1696428571428,3.5703866071428574,248342.86607142855
7,Blue Lake,CA,40.88,-123.98,41.0,1719.0,372.0,844.0,336.0,2.6923,84200.0
8,Brawley,CA,32.97909090909091,-115.53,24.818181818181817,1783.2727272727273,379.09090909090907,1218.7272727272727,365.3636363636364,2.550027272727273,76618.18181818182
9,Burbank,CA,34.179350649350646,-118.32857142857142,38.64935064935065,2310.6363636363635,515.6103896103896,1157.87012987013,491.64935064935065,3.906625974025974,263035.06493506493
10,Calabasas,CA,34.13,-118.68,9.0,11251.0,1594.0,3029.0,1227.0,6.7273,500001.0
11,Calipatria,CA,33.125,-115.52,28.0,1218.0,272.5,895.0,242.0,2.02115,57100.0
12,Carlsbad,CA,33.13054054054054,-117.29918918918918,13.756756756756756,4716.2972972972975,871.2972972972973,1987.4054054054052,787.3243243243244,4.727656756756757,262064.94594594595
13,Carson,CA,33.83304347826087,-118.2591304347826,29.58695652173913,2795.782608695652,555.0,1924.1521739130435,543.3695652173913,4.287726086956522,180426.08695652173
14,Chico,CA,39.74055555555556,-121.84027777777776,30.63888888888889,3676.1111111111113,777.3055555555555,1859.861111111111,742.1944444444445,2.327608333333333,104386.11111111112
15,Chowchilla,CA,37.115,-120.265,27.666666666666668,1687.5,346.0,900.3333333333334,336.8333333333333,2.023516666666666,61316.66666666666
16,Chula Vista,CA,32.62592592592593,-117.06061728395062,24.37037037037037,2959.41975308642,617.4375,1668.7530864197531,589.5308641975308,3.4893469135802464,155495.06172839506
17,City of Bakersfield,CA,35.35,-119.03,34.0,1441.0,294.0,695.0,275.0,2.6875,73700.0
18,City of Shafter,CA,35.501999999999995,-119.254,33.2,1645.2,367.4,1086.2,339.8,2.25726,65300.0
19,Cloverdale,CA,38.806666666666665,-123.01666666666668,33.666666666666664,1011.0,232.66666666666663,511.6666666666667,218.66666666666663,3.2610333333333337,137566.66666666666
20,Concord,CA,37.96736263736264,-122.01362637362637,25.296703296703296,2624.6813186813188,499.3,1245.3516483516485,479.7032967032967,4.309252747252748,189731.86813186813
21,Corona,CA,33.86837837837838,-117.56918918918916,19.486486486486488,4431.891891891892,796.3243243243244,2316.0,730.5945945945946,3.896916216216217,170816.24324324325
22,Costa Mesa,CA,33.65671428571428,-117.91485714285716,24.01428571428572,2694.5857142857144,603.7101449275362,1411.7142857142858,564.8714285714286,4.349517142857143,257787.14285714287
23,Cupertino,CA,37.31678571428571,-122.04178571428572,24.5,3435.1071428571427,592.8928571428571,1555.25,567.7142857142857,6.763585714285715,404457.28571428574
24,Daly City,CA,37.6834375,-122.4740625,30.9375,3148.625,653.6774193548387,2108.6875,661.6875,4.336584375,266496.875
25,Downey,CA,33.93571428571428,-118.12934065934068,33.32967032967033,1943.868131868132,412.3076923076923,1109.7912087912089,397.3626373626374,4.059452747252747,226210.989010989
26,El Cajon,CA,32.79790322580645,-116.94419354838708,21.693548387096776,3939.516129032258,801.5901639344262,2082.483870967742,763.0,3.625922580645162,167322.5806451613
27,El Centro,CA,32.78967741935484,-115.5641935483871,22.193548387096776,1570.8064516129032,345.16129032258067,1058.6774193548388,326.1290322580645,3.007683870967742,79796.7741935484
