Fips,Metro_area,Latitude,Longitude,Share_of_recent_buyers,State
41100,"St. George, UT Metro Area",37.3092,-113.4764,12.00%,UT
17660,"Coeur d'Alene, ID Metro Area",47.6787,-116.6855,11.30%,ID
16940,"Cheyenne, WY Metro Area",41.3265,-104.6666,13.80%,WY
49740,"Yuma, AZ Metro Area",32.7522,-113.9364,8.20%,AZ
49700,"Yuba City, CA Metro Area",39.1868,-121.6103,10.10%,CA
49020,"Winchester, VA-WV Metro Area",39.2738,-78.4913,8.60%,VA
47580,"Warner Robins, GA Metro Area",32.3977,-83.6652,9.10%,GA
47460,"Walla Walla, WA Metro Area",46.311,-118.1923,9.10%,WA
46060,"Tucson, AZ Metro Area",31.9703,-111.7845,8.40%,AZ
45540,"The Villages, FL Metro Area",28.633,-82.1055,10.40%,FL
45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",28.1327,-82.4803,8.40%,FL
44100,"Springfield, IL Metro Area",39.8416,-89.6058,9.00%,IL
44060,"Spokane-Spokane Valley, WA Metro Area",48.1301,-117.6472,8.10%,WA
43620,"Sioux Falls, SD Metro Area",43.4663,-96.9954,9.80%,SD
43420,"Sierra Vista-Douglas, AZ Metro Area",31.8803,-109.7499,8.00%,AZ
42680,"Sebastian-Vero Beach, FL Metro Area",27.7096,-80.5941,9.50%,FL
41420,"Salem, OR Metro Area",44.9843,-123.1472,8.50%,OR
39340,"Provo-Orem, UT Metro Area",39.9462,-111.6923,9.20%,UT
39140,"Prescott, AZ Metro Area",34.7073,-112.4429,10.40%,AZ
38940,"Port St. Lucie, FL Metro Area",27.2586,-80.4072,8.30%,FL
38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",45.6371,-122.6727,8.00%,OR
38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",33.2681,-112.1432,9.00%,AZ
37860,"Pensacola-Ferry Pass-Brent, FL Metro Area",30.6146,-87.0952,8.80%,FL
37460,"Panama City, FL Metro Area",30.0858,-85.4574,9.90%,FL
37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",28.3067,-80.7005,8.90%,FL
36740,"Orlando-Kissimmee-Sanford, FL Metro Area",28.4593,-81.4247,8.10%,FL
36500,"Olympia-Tumwater, WA Metro Area",46.9781,-122.8988,9.00%,WA
36260,"Ogden-Clearfield, UT Metro Area",41.3853,-112.9149,9.80%,UT
36140,"Ocean City, NJ Metro Area",39.0589,-74.914,11.00%,NJ
36100,"Ocala, FL Metro Area",29.2408,-82.0227,8.10%,FL
34940,"Naples-Immokalee-Marco Island, FL Metro Area",26.1457,-81.37,8.20%,FL
33780,"Monroe, MI Metro Area",41.9089,-83.4758,8.40%,MI
33260,"Midland, TX Metro Area",32.0888,-101.9531,10.30%,TX
32780,"Medford, OR Metro Area",42.4995,-122.7571,8.60%,OR
31900,"Mansfield, OH Metro Area",40.773,-82.5525,9.20%,OH
