,State,Latitude (generated),Longitude (generated),Sum PASSENGERS
0,WY,43.0,-107.5,0.00M
1,WI,44.5,-90.0,0.00M
2,WV,38.63,-80.73,0.00M
3,WA,47.5,-120.5,2.72M
4,VA,37.77,-78.24,10.89M
5,VT,44.1584,-72.7678,1.14M
6,UT,39.25,-111.75,2.31M
8,TX,31.25,-99.25,4.35M
9,TN,35.75,-86.25,0.54M
10,SC,34.0,-81.0,1.49M
11,RI,41.4966,-71.4757,1.01M
13,PA,40.86,-77.9,2.70M
14,OR,44.0,-120.5,1.65M
15,OK,35.5,-97.5,0.00M
16,OH,40.25,-83.0,0.63M
17,ND,47.5,-100.0,0.00M
18,NC,35.5,-80.0,3.74M
19,NY,43.0,-75.49,84.43M
20,NM,34.5,-106.0,0.28M
21,NJ,40.16,-74.49,8.82M
22,NH,43.66,-71.49,0.00M
23,NV,39.25,-116.75,5.86M
24,NE,41.5,-99.75,0.00M
25,MT,47.0,-109.75,0.01M
26,MO,38.25,-92.5,0.00M
27,MS,33.503,-89.8071,0.01M
28,MN,46.25,-94.25,0.21M
29,MI,43.1045,-84.6165,0.72M
30,MA,42.3616,-72.1839,45.33M
31,MD,39.4444,-77.0834,1.75M
32,ME,45.5,-69.24,0.93M
33,LA,30.6935,-92.241,1.56M
34,KY,37.79,-84.87,0.00M
35,KS,38.5,-98.5,0.00M
36,IA,42.0,-93.5,0.00M
37,IN,40.0,-86.25,0.00M
38,IL,40.0,-89.25,2.34M
39,ID,44.0739,-114.542,0.00M
40,GA,32.1598,-83.4715,1.80M
41,FL,28.42,-81.55,79.62M
42,DE,38.6716,-75.4165,0.00M
43,CT,41.6227,-72.7028,3.38M
44,CO,39.0,-105.5,1.50M
45,CA,37.25,-119.75,31.95M
46,AR,34.75,-92.5,0.00M
47,AZ,34.5,-111.5,1.04M
48,AK,64.0,-150.0,0.25M
49,AL,32.75,-86.75,0.00M
