,state,date,max_temp,humidity,cloudiness,wind_speed,description,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,sum_passengers,city_rank,qol_index,purchase_power,safety,healh_care,cost_of_living,prop_to_income_ratio,traffic_comm_time,pollution,climate,city,latitude,longitude,high_q
0,HI,2023-03-02 01:23:39,74.3,92,40,14.97,   Government Expenditures ,143873.0,161946.0,169065.0,180610.0,184220.0,186628.0,191721.0,184088.0,188410.0,204287.0,,52.0,152.2,75.4,52.4,72.5,103.0,9.2,41.3,37.3,95.3,Kahului,20.8947,-156.47,0
1,HI,2023-03-02 01:23:40,75.52,66,75,25.32,   Government Expenditures ,143873.0,161946.0,169065.0,180610.0,184220.0,186628.0,191721.0,184088.0,188410.0,204287.0,,52.0,152.2,75.4,52.4,72.5,103.0,9.2,41.3,37.3,95.3,Kapaa,22.0752,-159.319,0
2,NE,2023-03-02 01:23:40,32.88,78,0,13.8,   Government Expenditures ,86848.0,96517.0,102252.0,108983.0,110372.0,109591.0,109303.0,111896.0,118643.0,131338.0,0.00M,,,,,,,,,,,Douglas,41.3,-96.167,0
3,CA,2023-03-02 01:22:25,30.81,58,0,8.05,   Government Expenditures ,2779588.0,2790242.0,2817304.0,2802484.0,3017853.0,3222411.0,3331340.0,3248535.0,3367605.0,3654322.0,31.95M,8.0,174.3,114.2,59.6,69.0,82.8,8.4,35.5,40.0,97.1,Susanville,40.4163,-120.653,1
9,HI,2023-03-02 01:23:41,71.11,90,89,5.01,   Government Expenditures ,143873.0,161946.0,169065.0,180610.0,184220.0,186628.0,191721.0,184088.0,188410.0,204287.0,,52.0,152.2,75.4,52.4,72.5,103.0,9.2,41.3,37.3,95.3,Hilo,19.7297,-155.09,0
10,AK,2023-03-02 01:23:43,26.11,54,100,25.32,   Government Expenditures ,76803.0,84429.0,90094.0,97989.0,108667.0,114427.0,122910.0,119480.0,124424.0,139082.0,0.25M,38.0,167.3,112.1,38.1,61.2,85.8,2.5,26.8,15.7,41.6,Kodiak,57.79,-152.4072,0
11,CT,2023-03-02 01:23:43,38.48,82,100,6.91,   Government Expenditures ,139311.0,147599.0,154708.0,159055.0,154264.0,148680.0,145438.0,151814.0,160154.0,169307.0,3.38M,,,,,,,,,,,Bethel,41.3712,-73.414,0
12,MS,2023-03-02 01:22:38,76.41,92,75,6.91,   Government Expenditures ,161720.0,176969.0,179349.0,184860.0,184154.0,178866.0,179630.0,165845.0,173008.0,185792.0,0.01M,,,,,,,,,,,Pascagoula,30.3658,-88.5561,0
13,SC,2023-03-02 01:23:45,68.36,66,0,6.91,   Government Expenditures ,200816.0,225343.0,255535.0,294578.0,317126.0,324548.0,329170.0,340535.0,356591.0,384201.0,1.49M,,,,,,,,,,,Greenwood,34.1668,-82.1165,0
14,CA,2023-03-02 01:23:45,56.01,61,0,20.71,   Government Expenditures ,2779588.0,2790242.0,2817304.0,2802484.0,3017853.0,3222411.0,3331340.0,3248535.0,3367605.0,3654322.0,31.95M,8.0,174.3,114.2,59.6,69.0,82.8,8.4,35.5,40.0,97.1,Half Moon Bay,37.4636,-122.4286,1
20,NC,2023-03-02 01:23:47,69.98,91,40,11.5,   Government Expenditures ,566529.0,616016.0,621819.0,633533.0,633430.0,614989.0,591243.0,517182.0,518677.0,542180.0,3.74M,9.0,174.1,105.4,61.2,67.7,80.0,6.4,36.3,31.6,83.9,Havelock,34.8791,-76.9013,1
22,SC,2023-03-02 01:22:33,69.39,94,100,6.91,   Government Expenditures ,200816.0,225343.0,255535.0,294578.0,317126.0,324548.0,329170.0,340535.0,356591.0,384201.0,1.49M,,,,,,,,,,,North Myrtle Beach,33.816,-78.68,0
