Calculation1,Fips,Metro area,Latitude (generated),Longitude (generated),Share of recent buyers
4,41100,"St. George, UT Metro Area",37.3092,-113.4764,12.0%
4,17660,"Coeur d'Alene, ID Metro Area",47.6787,-116.6855,11.3%
4,16940,"Cheyenne, WY Metro Area",41.3265,-104.6666,13.8%
3,49740,"Yuma, AZ Metro Area",32.7522,-113.9364,8.2%
3,49700,"Yuba City, CA Metro Area",39.1868,-121.6103,10.1%
3,49020,"Winchester, VA-WV Metro Area",39.2738,-78.4913,8.6%
3,47580,"Warner Robins, GA Metro Area",32.3977,-83.6652,9.1%
3,47460,"Walla Walla, WA Metro Area",46.311,-118.1923,9.1%
3,46060,"Tucson, AZ Metro Area",31.9703,-111.7845,8.4%
3,45540,"The Villages, FL Metro Area",28.633,-82.1055,10.4%
3,45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",28.1327,-82.4803,8.4%
3,44100,"Springfield, IL Metro Area",39.8416,-89.6058,9.0%
3,44060,"Spokane-Spokane Valley, WA Metro Area",48.1301,-117.6472,8.1%
3,43620,"Sioux Falls, SD Metro Area",43.4663,-96.9954,9.8%
3,43420,"Sierra Vista-Douglas, AZ Metro Area",31.8803,-109.7499,8.0%
3,42680,"Sebastian-Vero Beach, FL Metro Area",27.7096,-80.5941,9.5%
3,41420,"Salem, OR Metro Area",44.9843,-123.1472,8.5%
3,39340,"Provo-Orem, UT Metro Area",39.9462,-111.6923,9.2%
3,39140,"Prescott, AZ Metro Area",34.7073,-112.4429,10.4%
3,38940,"Port St. Lucie, FL Metro Area",27.2586,-80.4072,8.3%
3,38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",45.6371,-122.6727,8.0%
3,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",33.2681,-112.1432,9.0%
3,37860,"Pensacola-Ferry Pass-Brent, FL Metro Area",30.6146,-87.0952,8.8%
3,37460,"Panama City, FL Metro Area",30.0858,-85.4574,9.9%
3,37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",28.3067,-80.7005,8.9%
3,36740,"Orlando-Kissimmee-Sanford, FL Metro Area",28.4593,-81.4247,8.1%
3,36500,"Olympia-Tumwater, WA Metro Area",46.9781,-122.8988,9.0%
3,36260,"Ogden-Clearfield, UT Metro Area",41.3853,-112.9149,9.8%
3,36140,"Ocean City, NJ Metro Area",39.0589,-74.914,11.0%
3,36100,"Ocala, FL Metro Area",29.2408,-82.0227,8.1%
3,34940,"Naples-Immokalee-Marco Island, FL Metro Area",26.1457,-81.37,8.2%
3,33780,"Monroe, MI Metro Area",41.9089,-83.4758,8.4%
3,33260,"Midland, TX Metro Area",32.0888,-101.9531,10.3%
3,32780,"Medford, OR Metro Area",42.4995,-122.7571,8.6%
3,31900,"Mansfield, OH Metro Area",40.773,-82.5525,9.2%
3,31740,"Manhattan, KS Metro Area",39.3049,-96.498,9.4%
3,31020,"Longview, WA Metro Area",46.1192,-122.6148,9.7%
3,30460,"Lexington-Fayette, KY Metro Area",38.1106,-84.4711,8.1%
3,29820,"Las Vegas-Henderson-Paradise, NV Metro Area",35.9271,-115.2532,9.3%
3,29460,"Lakeland-Winter Haven, FL Metro Area",28.0026,-81.7382,9.2%
3,27740,"Johnson City, TN Metro Area",36.2322,-82.2998,8.6%
3,27340,"Jacksonville, NC Metro Area",34.692,-77.3865,8.1%
3,27260,"Jacksonville, FL Metro Area",30.2238,-81.8852,9.0%
3,26140,"Homosassa Springs, FL Metro Area",28.8594,-82.5154,10.9%
3,25260,"Hanford-Corcoran, CA Metro Area",36.1391,-119.7718,8.8%
3,24580,"Green Bay, WI Metro Area",44.8103,-88.0063,8.1%
3,24540,"Greeley, CO Metro Area",40.5014,-104.5459,8.1%
3,24500,"Great Falls, MT Metro Area",47.2584,-111.4165,8.2%
3,24420,"Grants Pass, OR Metro Area",42.3893,-123.634,8.8%
3,24300,"Grand Junction, CO Metro Area",38.9332,-108.5847,9.8%
3,22660,"Fort Collins, CO Metro Area",40.6284,-105.4466,9.5%
3,21660,"Eugene, OR Metro Area",43.864,-122.7491,8.1%
3,20700,"East Stroudsburg, PA Metro Area",41.0334,-75.2923,9.6%
3,20500,"Durham-Chapel Hill, NC Metro Area",36.0288,-79.0057,8.4%
3,20100,"Dover, DE Metro Area",39.1096,-75.4797,9.2%
3,19740,"Denver-Aurora-Lakewood, CO Metro Area",39.3686,-104.8662,8.2%
3,19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",29.1419,-81.2095,8.3%
3,18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",30.6049,-86.3534,8.7%
3,17860,"Columbia, MO Metro Area",38.9459,-92.3404,8.3%
3,17820,"Colorado Springs, CO Metro Area",38.8203,-104.6919,8.4%
3,17780,"College Station-Bryan, TX Metro Area",30.8264,-96.4102,9.1%
3,17300,"Clarksville, TN-KY Metro Area",36.7362,-87.7121,8.8%
3,17020,"Chico, CA Metro Area",39.7237,-121.5794,10.8%
3,16300,"Cedar Rapids, IA Metro Area",42.0794,-91.5987,8.2%
3,16220,"Casper, WY Metro Area",42.9662,-106.7878,9.3%
3,15980,"Cape Coral-Fort Myers, FL Metro Area",26.5532,-81.9137,9.6%
3,15540,"Burlington-South Burlington, VT Metro Area",44.5888,-73.1245,8.8%
3,14740,"Bremerton-Silverdale, WA Metro Area",47.6874,-122.6079,8.4%
3,14540,"Bowling Green, KY Metro Area",37.0118,-86.4225,9.1%
3,14260,"Boise City, ID Metro Area",43.2557,-116.5017,9.4%
3,13460,"Bend-Redmond, OR Metro Area",44.0023,-121.4063,10.8%
3,12420,"Austin-Round Rock, TX Metro Area",30.2683,-97.6515,8.3%
3,12220,"Auburn-Opelika, AL Metro Area",32.5778,-85.3613,10.8%
2,49620,"York-Hanover, PA Metro Area",39.9731,-76.7431,6.2%
2,49420,"Yakima, WA Metro Area",46.5645,-120.6486,6.0%
2,49340,"Worcester, MA-CT Metro Area",42.178,-71.8736,6.0%
2,49180,"Winston-Salem, NC Metro Area",36.0275,-80.3688,6.2%
2,48900,"Wilmington, NC Metro Area",34.2598,-77.8228,5.7%
2,48660,"Wichita Falls, TX Metro Area",33.804,-98.4655,6.5%
2,48620,"Wichita, KS Metro Area",37.5841,-97.4951,7.7%
2,48540,"Wheeling, WV-OH Metro Area",39.9534,-80.8766,5.3%
2,48300,"Wenatchee, WA Metro Area",47.8855,-120.1936,6.9%
2,48260,"Weirton-Steubenville, WV-OH Metro Area",40.3973,-80.6923,5.3%
2,48140,"Wausau, WI Metro Area",44.9009,-89.7695,5.1%
2,48060,"Watertown-Fort Drum, NY Metro Area",44.0354,-75.9891,5.7%
2,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",38.8552,-77.5269,6.6%
2,47380,"Waco, TX Metro Area",31.4247,-97.1128,6.8%
2,47300,"Visalia-Porterville, CA Metro Area",36.2671,-118.8232,6.3%
2,47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",36.8161,-76.3797,6.7%
2,47220,"Vineland-Bridgeton, NJ Metro Area",39.3125,-75.1344,6.2%
2,46700,"Vallejo-Fairfield, CA Metro Area",38.2855,-121.9018,5.5%
2,46540,"Utica-Rome, NY Metro Area",43.4608,-75.1188,5.6%
2,46520,"Urban Honolulu, HI Metro Area",21.4812,-157.9695,5.3%
2,46140,"Tulsa, OK Metro Area",36.1881,-96.1294,6.8%
2,45940,"Trenton, NJ Metro Area",40.2805,-74.6826,5.6%
2,45820,"Topeka, KS Metro Area",39.0434,-95.9461,7.9%
2,45780,"Toledo, OH Metro Area",41.5626,-83.8981,6.7%
2,45220,"Tallahassee, FL Metro Area",30.3347,-84.2507,7.2%
2,45060,"Syracuse, NY Metro Area",43.2123,-76.1777,5.3%
2,44420,"Staunton-Waynesboro, VA Metro Area",38.1797,-79.1373,6.0%
2,44300,"State College, PA Metro Area",40.9721,-77.806,5.1%
2,44220,"Springfield, OH Metro Area",39.9058,-83.7972,5.8%
2,44180,"Springfield, MO Metro Area",37.3561,-93.1565,7.7%
2,44140,"Springfield, MA Metro Area",42.2772,-72.6068,6.2%
2,43900,"Spartanburg, SC Metro Area",34.8204,-81.8312,7.3%
2,43780,"South Bend-Mishawaka, IN-MI Metro Area",41.7514,-86.2934,6.1%
2,43340,"Shreveport-Bossier City, LA Metro Area",32.4317,-93.6401,6.4%
2,43300,"Sherman-Denison, TX Metro Area",33.6787,-96.662,6.4%
2,42700,"Sebring, FL Metro Area",27.3395,-81.3049,6.6%
2,42660,"Seattle-Tacoma-Bellevue, WA Metro Area",47.5137,-121.885,7.6%
2,42340,"Savannah, GA Metro Area",32.1505,-81.4468,7.6%
2,42220,"Santa Rosa, CA Metro Area",38.4629,-122.8943,6.4%
2,42200,"Santa Maria-Santa Barbara, CA Metro Area",34.7203,-120.0629,7.3%
2,42140,"Santa Fe, NM Metro Area",35.5258,-105.9833,7.2%
2,42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",35.3477,-120.3665,7.0%
2,41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",36.8407,-121.3746,5.2%
2,41740,"San Diego-Carlsbad, CA Metro Area",33.0164,-116.7305,6.4%
2,41700,"San Antonio-New Braunfels, TX Metro Area",29.376,-98.6267,7.1%
2,41620,"Salt Lake City, UT Metro Area",40.4903,-112.926,6.6%
2,41540,"Salisbury, MD-DE Metro Area",38.4443,-75.4108,6.5%
2,41500,"Salinas, CA Metro Area",36.3545,-121.5249,5.7%
2,41180,"St. Louis, MO-IL Metro Area",38.7628,-90.3359,6.2%
2,41140,"St. Joseph, MO-KS Metro Area",39.8301,-94.7727,5.9%
2,41060,"St. Cloud, MN Metro Area",45.5526,-94.6386,6.1%
2,40900,"Sacramento--Roseville--Arden-Arcade, CA Metro Area",38.6673,-121.1593,6.7%
2,40340,"Rochester, MN Metro Area",43.9778,-92.5623,5.9%
2,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",34.6177,-116.0501,6.7%
2,40060,"Richmond, VA Metro Area",37.48,-77.437,6.6%
2,39900,"Reno, NV Metro Area",40.582,-119.6546,8.0%
2,39820,"Redding, CA Metro Area",40.7347,-122.0179,6.8%
2,39660,"Rapid City, SD Metro Area",44.258,-102.7909,7.0%
2,39580,"Raleigh, NC Metro Area",35.7604,-78.5878,7.9%
2,39540,"Racine, WI Metro Area",42.7278,-87.6802,6.0%
2,39460,"Punta Gorda, FL Metro Area",26.904,-81.9881,7.9%
2,39380,"Pueblo, CO Metro Area",38.1285,-104.5533,5.1%
2,39300,"Providence-Warwick, RI-MA Metro Area",41.6397,-71.3161,5.4%
2,38860,"Portland-South Portland, ME Metro Area",43.5441,-70.5308,6.0%
2,38540,"Pocatello, ID Metro Area",42.6399,-112.1631,5.2%
